,LAT,LON,Min Distance
86,42.366623,-82.952292,133.2885655
87,42.353948,-83.191417,14.50576639
88,42.36469,-83.188546,58.67520081
89,42.361866,-83.142932,29.6362671
90,42.437551,-82.987646,166.944538
91,42.431431,-82.99106,68.16650853
92,42.431993,-82.992311,47.68849027
93,42.377082,-83.119584,465.2980994
94,42.440332,-82.982885,25.99537498
95,42.362632,-83.193969,88.45717414
96,42.367197,-83.116484,202.6013352
97,42.424406,-82.986127,97.04922477
98,42.441458,-83.086832,246.6592096
99,42.365239,-83.127742,305.3202659
100,42.363343,-83.029673,35.76514862
101,42.342845,-83.10673,91.65771089
102,42.409305,-83.065132,23.7168321
103,42.390881,-83.073735,175.5764894
104,42.384327,-83.009876,100.1632378
105,42.37102,-83.001469,22.41884854
106,42.398212,-83.04013,268.4094194
107,42.408393,-83.069816,22.86643528
108,42.364163,-83.188514,87.68170413
109,42.419381,-83.077182,74.466075
110,42.367229,-83.114019,191.4070556
111,42.443114,-82.993974,177.6161961
112,42.413737,-83.004503,109.649565
113,42.376123,-83.140915,134.55532
114,42.445696,-83.093075,59.91101911
115,42.377995,-83.005295,9.697908525
116,42.371233,-83.015995,92.04430783
117,42.370842,-83.001341,105.0886855
118,42.415914,-83.040555,45.73058162
119,42.410249,-83.071356,9.563965622
120,42.355219,-83.190467,124.9003784
121,42.364104,-83.191793,117.2230237
122,42.360093,-83.10922,65.3067362
123,42.384901,-83.117874,376.9423647
124,42.362759,-83.116619,88.13732657
125,42.374345,-83.012837,30.68544602
126,42.368207,-83.008593,116.6585763
127,42.374629,-82.94275,189.933994
128,42.33671,-83.130197,35.04274966
129,42.416325,-83.04057,33.15559394
130,42.409027,-83.040354,88.26399443
131,42.363226,-83.180037,120.4823336
132,42.418107,-83.041804,96.54715457
133,42.342272,-83.100124,109.1152032
134,42.363544,-83.164244,259.8723602
135,42.359571,-83.190539,116.1551023
136,42.360831,-83.037572,134.9115521
137,42.374185,-82.944982,107.2355381
138,42.373499,-82.945899,132.2323725
139,42.37036,-83.012895,99.43493318
140,42.364692,-83.118517,93.09424212
141,42.374038,-83.160687,31.67246017
142,42.351381,-83.091947,115.7706152
143,42.441128,-83.103827,118.4558022
144,42.363507,-83.116973,263.6663923
145,42.377092,-83.130053,121.7463187
146,42.429732,-83.10735,91.30684043
147,42.431633,-83.251125,112.2044714
148,42.342542,-83.1014,13.09771346
149,42.345552,-83.115584,85.76506486
150,42.416409,-83.041728,33.42839962
151,42.354354,-83.191436,30.90233733
152,42.342709,-83.116459,251.5557692
153,42.416623,-83.04058,59.89745696
154,42.328766,-83.133464,80.68357364
155,42.365204,-82.935275,63.27670729
156,42.400451,-83.038911,576.3194736
157,42.362171,-83.141843,86.44296457
158,42.412193,-83.060387,13.90202251
159,42.334836,-83.149891,26.74154397
160,42.377367,-83.156703,107.0434275
161,42.365522,-83.118663,272.931989
162,42.424625,-83.089841,99.23259472
163,42.432025,-83.253558,134.2758079
164,42.355694,-83.031642,62.62782938
165,42.418075,-83.040629,57.11938344
166,42.33313,-83.078874,4.343841354
167,42.435284,-83.029735,264.7055197
168,42.377681,-83.006284,87.35228545
169,42.405681,-83.0684,63.84302661
170,42.438373,-82.951286,51.3951972
171,42.437462,-82.952414,97.56836184
172,42.315157,-83.130517,37.05097248
173,42.407735,-83.141539,82.18321638
174,42.440093,-82.957009,60.85298413
175,42.440076,-82.95775,77.97972477
176,42.370985,-83.019856,26.28796558
177,42.438364,-82.951912,22.5190422
178,42.438326,-82.954413,102.667151
179,42.409385,-83.058468,96.34358478
180,42.353017,-83.229677,12.22956958
181,42.361002,-83.014987,37.47102757
182,42.35086,-83.238127,31.37883415
183,42.408533,-83.065002,83.71095034
184,42.354894,-83.240719,122.2056331
185,42.349755,-83.213938,15.82440697
186,42.407282,-83.063983,224.5510304
187,42.42163,-83.240409,67.18627735
188,42.333258,-83.231347,17.91913492
189,42.351142,-83.238138,45.49979498
190,42.375689,-83.009889,144.5226055
191,42.435687,-83.010152,85.62144536
192,42.349363,-83.200198,96.09188253
193,42.438124,-82.963446,106.4042703
194,42.374034,-83.241302,108.5648134
195,42.410078,-83.0563,129.2669153
196,42.415403,-83.060254,180.6263201
197,42.322198,-83.107478,183.9395207
198,42.414052,-83.061652,9.688264514
199,42.437129,-83.010198,142.2822273
200,42.409592,-83.070952,37.49749277
201,42.362898,-83.009001,71.47605894
202,42.410952,-83.050235,377.2916688
203,42.361845,-83.005945,11.86790997
204,42.354605,-83.218777,52.6921049
205,42.360328,-83.110991,12.35486312
206,42.345917,-83.114665,7.695665267
207,42.328919,-83.122097,237.357179
208,42.329186,-83.127211,90.52462861
209,42.33182,-83.129384,6.11852612
210,42.324213,-83.118671,131.3612478
211,42.408929,-83.244129,214.4503874
212,42.421406,-83.089717,5.007874633
213,42.421451,-83.089719,2.224525106
214,42.422908,-83.090982,14.46780278
215,42.406291,-82.947303,77.88581106
216,42.443884,-83.06782,35.73766997
217,42.439595,-83.069594,187.0943295
218,42.428868,-83.061799,4.452079067
219,42.443017,-83.071822,49.57564586
220,42.428828,-83.061797,205.7978907
221,42.326186,-83.11677,133.5115456
222,42.362512,-83.192905,150.6399427
223,42.341573,-83.217098,15.08471556
224,42.384344,-83.163183,249.7422925
225,42.405445,-83.153477,21.95288118
226,42.364684,-83.113921,23.27109523
227,42.423038,-83.090988,2.559521118
228,42.424164,-83.091037,6.453212359
229,42.435642,-83.067314,201.721495
230,42.325319,-83.132387,88.66527536
231,42.329023,-83.139594,167.6166902
232,42.332931,-83.12483,70.96602944
233,42.327793,-83.119645,119.617624
234,42.440404,-83.096197,174.1740187
