,LAT,LON,Min Distance
192,42.3784028,-82.94180675,25.80666714
193,42.33271984,-83.11651461,212.4544541
194,42.362298,-83.01576331,72.13256817
195,42.33217044,-83.13735669,160.600008
196,42.44467117,-83.06476294,36.29904483
197,42.40600059,-83.17058389,55.54952349
198,42.37118094,-83.13112861,140.1262594
199,42.42304399,-82.98887366,103.0159763
200,42.3691898,-82.98495705,101.1642327
201,42.42497176,-82.99213347,114.2896637
202,42.36455071,-82.99000751,101.3020585
203,42.34672146,-83.14167314,6.190279541
204,42.38011228,-83.19228712,9.522352741
205,42.4084803,-83.1825031,97.36844914
206,42.40743749,-83.17723717,6.068648899
207,42.40747091,-83.21966303,257.5736072
208,42.44736866,-82.99049722,111.3409734
209,42.39649773,-82.95143257,19.81358795
210,42.43828177,-83.21821346,37.43239153
211,42.42845857,-83.18635748,197.7222306
212,42.43435134,-83.20322343,154.2979774
213,42.37244039,-83.11919789,20.01413952
214,42.35865679,-83.19487745,113.4814838
215,42.35512274,-83.01934114,171.4016605
216,42.36690252,-83.069311,146.8303631
217,42.35173734,-83.192377,21.03615072
218,42.32801992,-83.1198374,19.64185796
219,42.35529213,-83.19253371,95.16190733
220,42.39842088,-82.94716797,13.4347922
221,42.39020915,-82.95692276,71.79388582
222,42.3661407,-83.2226568,125.6074113
223,42.4226672,-83.09397098,168.3812302
224,42.31188913,-83.13241456,130.4848192
225,42.38067148,-83.1977835,277.1984961
226,42.39975638,-82.98129856,235.3065139
227,42.3841879,-83.19038816,60.13043341
228,42.38273833,-83.26859814,197.245451
229,42.431481,-83.04803296,88.13251041
230,42.4295613,-83.14805333,197.6197579
231,42.39478774,-82.93972308,66.64101441
232,42.35594778,-83.22981809,96.32169582
233,42.39488338,-83.13303103,99.22249305
234,42.38400584,-83.08101011,108.8304199
235,42.3961578,-83.24913725,109.0163898
236,42.42726826,-83.07171811,90.2815074
237,42.37555846,-83.2024779,64.47214594
238,42.33554317,-83.04547144,127.7175643
239,42.31892538,-83.13606638,9.037127675
240,42.34477064,-83.22682331,49.41591626
241,42.37422527,-83.15248961,24.53740199
242,42.42711214,-83.25197845,162.0358777
243,42.40340796,-83.25825756,72.3263646
244,42.42603071,-83.19721313,94.4334785
245,42.38041763,-83.19230786,6.165707402
246,42.3824975,-82.98224228,200.3074702
247,42.36834633,-83.11356092,99.4195774
248,42.44254752,-83.00256738,204.1438465
249,42.39292197,-83.21761228,160.1800698
250,42.38808837,-83.24431725,184.9247708
251,42.30646303,-83.13202048,119.2607674
252,42.43370145,-83.18527318,102.3527377
253,42.41303297,-82.99611114,91.31734405
254,42.43555777,-83.07809715,27.53854059
255,42.41957793,-83.07424737,46.1768625
256,42.30080994,-83.12676722,177.5700841
257,42.37470347,-83.07400078,132.262514
258,42.33443122,-83.09133917,62.54836172
259,42.37334253,-83.13910792,132.0919284
260,42.42152752,-83.11750524,69.67967893
261,42.34375663,-83.07252125,123.847269
262,42.41602775,-83.06467306,105.5613837
263,42.41637574,-82.98175025,89.67231877
264,42.35076827,-83.12481411,123.8611502
265,42.33712064,-83.22781312,81.63379871
266,42.37152087,-83.22156314,100.0251244
267,42.33636244,-83.0722401,99.21392558
268,42.40511103,-83.26566327,25.06566019
269,42.36854798,-83.2033882,43.45413795
270,42.35438759,-83.23461735,103.7502263
271,42.3833283,-83.19132727,91.01787548
272,42.37670037,-83.24252315,58.29980264
273,42.43776094,-83.03293346,83.69689226
274,42.30794833,-83.13383302,38.3077016
275,42.38806072,-82.95160771,147.6358313
276,42.35634647,-83.13891112,52.9296721
277,42.40684752,-83.23773772,171.3244284
278,42.43192693,-83.04917718,82.36354089
279,42.42928706,-82.9663212,160.5631884
280,42.44006089,-83.17207379,114.1353006
281,42.42527135,-83.19472304,20.11682239
282,42.39116612,-83.01334121,83.15777787
283,42.44571744,-82.95083108,82.09871873
284,42.36014784,-83.14507813,10.6431718
285,42.37320751,-83.15007414,47.89092843
286,42.35185819,-83.12512314,98.03133721
287,42.36517064,-83.17766351,94.99945675
288,42.37804048,-83.15373292,180.2466908
289,42.36578687,-83.13174404,10.93979954
290,42.38258853,-83.00150382,50.07045332
291,42.37225717,-83.21940146,19.41684104
292,42.41450789,-83.22790761,100.286383
293,42.38093846,-82.99578274,89.52842595
294,42.37068892,-83.00117427,56.44753213
295,42.40567565,-82.97562011,57.2322097
296,42.31870603,-83.08389197,218.1678736
297,42.38763783,-83.16983721,231.9761641
298,42.4267601,-83.2752733,63.33352014
299,42.39713724,-82.93524301,97.87840878
300,42.38833035,-83.07315847,147.8592757
301,42.41901269,-83.16046101,14.94718727
302,42.36287069,-83.17873398,30.52704423
303,42.40369142,-82.93102796,121.0109215
304,42.42649047,-83.20826351,132.4685093
305,42.37170753,-82.9382424,15.12806429
306,42.30977815,-83.11522367,155.9080563
307,42.41682282,-82.99312097,96.56876092
